batchSize,numWorkers,trainDataDir,testDataDir,dataDtype,trainDataSubset,trainSplit,validationSplit,experimentsFolder,torchSeed,numpySeed,pythonSeed,overfitTraining,modelType,pretrained,pretrained2D,C,modelInputCh,extraInputCh,mainInputTime,modelOutputCh,numBlocks,inputHeightWidth,windowSizeT,windowSizeH,windowSizeW,patchSizeT,patchSizeH,patchSizeW,epochs,trainLossFunction,trainingOptimizer,lr,lrScaleFactor,scheduler,schedulerPatience,gradientClipping,gradientClipValue,valLoss,epoch,folder,patchEmbedding_norm,encoder_layerDepths,encoder_layerNumHeads,encoder_mlpRatio,encoder_qkvBias,encoder_qkScale,encoder_drop,encoder_attnDrop,encoder_dropPath,encoder_norm,encoder_downsample,encoder_useCheckpoint,encoder_patchMerging_norm,bottleneck_depth,bottleneck_numHeads,bottleneck_norm,decoder_layerDepths,decoder_layerNumHeads,decoder_mlpRatio,decoder_qkvBias,decoder_qkScale,decoder_drop,decoder_attnDrop,decoder_dropPath,decoder_norm,decoder_downsample,decoder_useCheckpoint,decoder_patchExpansion_norm,trainLossFunctions,train_maskedL1,train_ssim,train_maskedSSIM,train_FFL,train_SSIM,encoder_normLayer,decoder_normLayer,train_maskedGradient
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,3.0,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,True,videoSwinUnet,/home/nikoskot/earthnetThesis/swin_tiny_patch4_window7_224_22k.pth,True,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,2000,maskedL1,adam,0.0002,0.1,ReduceLROnPlateau,10.0,False,0.5,0.0764259546995163,1883,videoSwinUnet_24-07-2024_17-44-33,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,2.0,12.0,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,,,,,,,,,
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,3.0,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,True,videoSwinUnet,,True,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,2000,maskedL1,adam,0.0002,0.1,ReduceLROnPlateau,10.0,False,0.5,0.05301930941641331,1999,videoSwinUnet_24-07-2024_19-30-34,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,2.0,12.0,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,,,,,,,,,
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,3.0,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,True,videoSwinUnet,,True,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,2000,,adam,0.0002,0.5,ReduceLROnPlateau,50.0,False,0.5,tensor(0.0218),1995,videoSwinUnet_25-07-2024_20-58-28,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,2.0,12.0,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,"['maskedL1', 'ssim']",0.022095510736107826,0.031830430030822754,,,,,,
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,3.0,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,True,videoSwinUnet,,True,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,5000,,adam,0.0002,0.5,ReduceLROnPlateau,50.0,False,0.5,tensor(0.0066),4997,videoSwinUnet_26-07-2024_14-37-20,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,2.0,12.0,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,"['maskedL1', 'maskedSSIM', 'FFL']",0.006651666946709156,,2.999997138977051,5.496546009453596e-07,,,,
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,3.0,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,True,videoSwinUnet,,True,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,5000,,adam,0.0002,0.5,ReduceLROnPlateau,50.0,False,0.5,tensor(0.0210),4998,videoSwinUnet_27-07-2024_01-19-29,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,2.0,12.0,True,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,True,"['maskedL1', 'SSIM', 'FFL']",0.02122621238231659,,,2.0760022589882965e-09,0.11787619441747665,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNet,,,96,12,,,,,,,,,,,,40,mse,adamw,0.0005,,,,,,91026.65825052302,36,videoSwinUnet_02-07-2024_17-14-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNet,,,96,12,,,,,,,,,,,,100,mse,adamw,0.005,,,,,,77967.85130753138,37,videoSwinUNet_05-07-2024_19-10-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,,,,,,,,,,,,60,mse,adamw,0.0005,,,,,,90153.62118200837,57,videoSwinUNetV2_06-07-2024_18-36-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,5.0,10.0,,3.0,128.0,8.0,7.0,7.0,2.0,4.0,4.0,50,mse,adamw,0.0005,,,,,,69225.458984375,49,videoSwinUNetV2_08-07-2024_18-22-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,5.0,10.0,,3.0,128.0,5.0,7.0,7.0,2.0,4.0,4.0,50,mse,adamw,0.0005,,,,,,61196.54296875,48,videoSwinUNetV2_08-07-2024_18-45-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
